State,County,Topic,Age,Data_Value,Low_Bound,Up_Bound
AK,Aleutians East,Coronary Heart Disease,Ages 35-64 years,9.000000000000002,-123.30000000000001,388.1
AK,Aleutians East,Coronary Heart Disease,Ages 65 years and older,0.0,0.0,0.0
AK,Aleutians East,Stroke,Ages 35-64 years,-40.3,-136.1,153.10000000000002
AK,Aleutians East,Stroke,Ages 65 years and older,0.0,0.0,0.0
AK,Aleutians West,Coronary Heart Disease,Ages 35-64 years,110.30000000000001,-69.4,685.4
AK,Aleutians West,Coronary Heart Disease,Ages 65 years and older,0.0,0.0,0.0
AK,Aleutians West,Stroke,Ages 35-64 years,-15.199999999999996,-132.1,202.79999999999998
AK,Aleutians West,Stroke,Ages 65 years and older,0.0,0.0,0.0
AK,Anchorage,Coronary Heart Disease,Ages 35-64 years,0.3000000000000007,-58.8,83.80000000000001
AK,Anchorage,Coronary Heart Disease,Ages 65 years and older,-69.4,-109.0,-21.700000000000003
AK,Anchorage,Stroke,Ages 35-64 years,-66.9,-136.7,43.2
AK,Anchorage,Stroke,Ages 65 years and older,-69.5,-117.0,-11.7
AK,Bethel,Coronary Heart Disease,Ages 35-64 years,39.7,-51.5,166.2
AK,Bethel,Coronary Heart Disease,Ages 65 years and older,-36.0,-90.8,53.4
AK,Bethel,Stroke,Ages 35-64 years,-40.0,-111.4,77.7
AK,Bethel,Stroke,Ages 65 years and older,-46.4,-105.2,40.10000000000001
AK,Bristol Bay,Coronary Heart Disease,Ages 35-64 years,0.0,0.0,0.0
AK,Bristol Bay,Coronary Heart Disease,Ages 65 years and older,0.0,0.0,0.0
AK,Bristol Bay,Stroke,Ages 35-64 years,0.0,0.0,0.0
AK,Bristol Bay,Stroke,Ages 65 years and older,0.0,0.0,0.0
AK,Denali,Coronary Heart Disease,Ages 35-64 years,20.7,-87.7,194.9
AK,Denali,Coronary Heart Disease,Ages 65 years and older,0.0,0.0,0.0
AK,Denali,Stroke,Ages 35-64 years,-29.3,-115.9,128.1
AK,Denali,Stroke,Ages 65 years and older,0.0,0.0,0.0
AK,Dillingham,Coronary Heart Disease,Ages 35-64 years,56.8,-91.9,331.9
AK,Dillingham,Coronary Heart Disease,Ages 65 years and older,0.0,0.0,0.0
AK,Dillingham,Stroke,Ages 35-64 years,-57.5,-143.1,95.5
AK,Dillingham,Stroke,Ages 65 years and older,0.0,0.0,0.0
AK,Fairbanks North Star,Coronary Heart Disease,Ages 35-64 years,-4.5,-79.5,93.0
AK,Fairbanks North Star,Coronary Heart Disease,Ages 65 years and older,-57.6,-116.5,11.5
AK,Fairbanks North Star,Stroke,Ages 35-64 years,-53.0,-132.0,51.5
AK,Fairbanks North Star,Stroke,Ages 65 years and older,-18.2,-91.0,66.4
AK,"Juneau, Hoonah-Angoon, Skagway, Haines",Coronary Heart Disease,Ages 35-64 years,-15.799999999999999,-120.9,173.2
AK,"Juneau, Hoonah-Angoon, Skagway, Haines",Coronary Heart Disease,Ages 65 years and older,-27.5,-113.1,79.0
AK,"Juneau, Hoonah-Angoon, Skagway, Haines",Stroke,Ages 35-64 years,-76.8,-167.8,77.7
AK,"Juneau, Hoonah-Angoon, Skagway, Haines",Stroke,Ages 65 years and older,-53.300000000000004,-131.3,45.0
AK,Kenai Peninsula,Coronary Heart Disease,Ages 35-64 years,5.100000000000001,-71.2,110.4
AK,Kenai Peninsula,Coronary Heart Disease,Ages 65 years and older,-58.2,-107.9,2.900000000000001
AK,Kenai Peninsula,Stroke,Ages 35-64 years,-47.5,-119.8,57.0
AK,Kenai Peninsula,Stroke,Ages 65 years and older,-56.4,-115.80000000000001,7.0
AK,Kodiak Island,Coronary Heart Disease,Ages 35-64 years,3.1000000000000014,-122.6,224.4
AK,Kodiak Island,Coronary Heart Disease,Ages 65 years and older,-68.6,-145.8,30.8
AK,Kodiak Island,Stroke,Ages 35-64 years,-80.69999999999999,-166.7,65.89999999999999
AK,Kodiak Island,Stroke,Ages 65 years and older,-80.5,-150.7,28.699999999999996
AK,Kusilvak,Coronary Heart Disease,Ages 35-64 years,69.3,-67.1,293.79999999999995
AK,Kusilvak,Coronary Heart Disease,Ages 65 years and older,0.0,0.0,0.0
AK,Kusilvak,Stroke,Ages 35-64 years,-30.2,-129.4,158.1
AK,Kusilvak,Stroke,Ages 65 years and older,0.0,0.0,0.0
AK,Lake and Peninsula,Coronary Heart Disease,Ages 35-64 years,-2.6999999999999993,-99.5,207.6
AK,Lake and Peninsula,Coronary Heart Disease,Ages 65 years and older,0.0,0.0,0.0
